First Cycle (1)

Top Surface:
MetricName:	Lane1	Lane2	Lane3	Lane4	Lane5	Lane6	Lane7	Lane8	
# of Clusters:	22579126	22588739	11469378	23022250	21135856	21416021	21707990	21478628	
A intensity:	15060.78	14890.94	14674.19	15166.5	15560.72	15258.25	14936.81	15148.75	
C intensity:	20425.75	19966.12	19137.56	20278.12	20990.62	20578	20132.44	20377	
G intensity:	8816.19	7360.38	7290.88	7199.38	9760.19	9183.44	8704.44	8779.81	
T intensity:	18956.94	18206	17144.94	18092	19567.06	18837.06	18296.31	18505.44	
A FocusMetric:	75.85	75.89	60.48	74.1	74.3	74.96	75	74.59	
C FocusMetric:	79.37	79.35	65.41	77.94	77.83	78.44	78.25	78.12	
G FocusMetric:	76.08	75.09	58.32	73.38	74.66	74.38	74.68	74.58	
T FocusMetric:	80.02	79.36	63.96	77.63	78.42	78.62	78.47	78.5	

Bottom Surface:
MetricName:	Lane1	Lane2	Lane3	Lane4	Lane5	Lane6	Lane7	Lane8	
# of Clusters:	21823803	22177369	11590109	21640608	21151691	21391948	21210135	21284921	
A intensity:	17028.69	17235.12	16980.41	17620.88	17717.38	17395.56	16949.19	17115.94	
C intensity:	23201.25	23504.62	22655.94	23727.19	24020.19	23578.81	22920.12	23107.19	
G intensity:	11922.5	11921.94	12070.5	11851.62	12337.94	11761.06	11301.88	11158.38	
T intensity:	23792.12	23981	22828.5	24162	24624.5	23548.62	22873.56	23085.56	
A FocusMetric:	77.56	77.54	63.48	75.33	76.36	76.48	76.78	76.54	
C FocusMetric:	81.64	81.36	68.88	79.57	80.19	80.87	81.16	80.97	
G FocusMetric:	78.06	78.44	62.32	75.88	76.55	76.75	77.04	76.77	
T FocusMetric:	81.71	81.52	68.09	79.83	80.42	81.08	81.29	80.21	
